chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
-9	ENSG00000000003.14	-9	0	A	T	3.322	-3.576817e-01	3.176869e-01	-2.025713e+02	1.000000e-05	1.000000e-05	2.631390e-01	2.492673e-01	2.538625e-01
-9	ENSG00000000005.5	-9	0	A	T	0.345	1.646878e-01	2.430983e-01	-2.029936e+02	1.000000e-05	1.000000e-05	4.998184e-01	4.872096e-01	4.894993e-01
-9	ENSG00000000419.12	-9	0	A	T	3.774	5.147574e-02	1.787928e-01	-2.031913e+02	1.000000e-05	1.000000e-05	7.740653e-01	7.675655e-01	7.682822e-01
-9	ENSG00000000457.13	-9	0	A	T	3.641	-5.845975e-01	5.518551e-01	-2.028616e+02	1.552724e-02	4.377590e-03	2.922221e-01	3.875180e-01	3.933022e-01
-9	ENSG00000000460.16	-9	0	A	T	2.925	-4.009819e-01	4.301546e-01	-2.027790e+02	1.000000e-05	1.000000e-05	3.536830e-01	3.396141e-01	3.432444e-01
-9	ENSG00000000938.12	-9	0	A	T	2.604	-2.561504e-03	1.417756e-01	-2.032348e+02	1.000000e-05	1.000000e-05	9.856243e-01	9.851987e-01	9.852389e-01
-9	ENSG00000000971.15	-9	0	A	T	4.314	3.898782e-01	2.100648e-01	-2.014522e+02	1.000000e-05	1.000000e-05	6.665609e-02	5.898952e-02	6.451631e-02
-9	ENSG00000001036.13	-9	0	A	T	3.350	-8.096578e-01	4.487221e-01	-2.015483e+02	1.000000e-05	1.000000e-05	7.444653e-02	6.625981e-02	7.188673e-02
-9	ENSG00000001084.10	-9	0	A	T	4.243	-4.698347e-01	6.277600e-01	-2.029406e+02	1.000000e-05	1.000000e-05	4.561097e-01	4.428834e-01	4.455364e-01
-9	ENSG00000001167.14	-9	0	A	T	4.219	-1.822346e-01	4.051203e-01	-2.031284e+02	1.000000e-05	1.000000e-05	6.538924e-01	6.443420e-01	6.456128e-01
-9	ENSG00000001460.17	-9	0	A	T	3.132	-1.331647e-01	1.954841e-01	-2.029910e+02	1.000000e-05	1.000000e-05	4.974529e-01	4.848074e-01	4.871159e-01
-9	ENSG00000001461.16	-9	0	A	T	4.481	-1.228906e-01	1.059339e-01	-2.025307e+02	1.000000e-05	1.000000e-05	2.490226e-01	2.352855e-01	2.400318e-01
-9	ENSG00000001497.16	-9	0	A	T	3.893	-2.906153e-01	4.093936e-01	-2.029701e+02	1.000000e-05	1.000000e-05	4.795816e-01	4.666704e-01	4.691241e-01
-9	ENSG00000001561.6	-9	0	A	T	4.802	-1.138785e+00	4.512548e-01	-2.003117e+02	2.245480e-02	1.935085e-02	1.333136e-02	1.560836e-02	2.290035e-02
-9	ENSG00000001617.11	-9	0	A	T	2.512	1.538931e-01	1.774029e-01	-2.028399e+02	1.000000e-05	1.000000e-05	3.879373e-01	3.740432e-01	3.773285e-01
-9	ENSG00000001626.14	-9	0	A	T	1.761	-1.121720e-01	1.357076e-01	-2.028761e+02	1.000000e-05	1.000000e-05	4.106187e-01	3.969026e-01	3.999691e-01
-9	ENSG00000001629.9	-9	0	A	T	4.983	-2.730404e-01	2.863695e-01	-2.027581e+02	1.000000e-05	1.000000e-05	3.428581e-01	3.287595e-01	3.325020e-01
-9	ENSG00000001630.15	-9	0	A	T	4.671	-3.584432e-01	1.946756e-01	-2.014799e+02	1.000000e-05	1.000000e-05	6.880993e-02	6.099556e-02	6.655314e-02
-9	ENSG00000001631.15	-9	0	A	T	4.517	3.642996e-02	5.338319e-01	-2.032325e+02	1.000000e-05	1.000000e-05	9.457408e-01	9.441368e-01	9.442896e-01
-9	ENSG00000002016.17	-9	0	A	T	3.554	1.417818e-01	4.666345e-01	-2.031863e+02	1.000000e-05	1.000000e-05	7.619365e-01	7.551103e-01	7.558753e-01
