gene_name	beta	se	p_wald	chr	start	end
WASH7P	0.007121507	0.009579376	0.4575421	1	14363	29806
AP006222.2	0.0001686466	0.003653096	0.9631951	1	227615	267253
MTND1P23	0.001435516	0.004260539	0.736295	1	564442	564813
MTND2P28	0.000552752	0.00328355	0.8663774	1	565020	566063
RP5-857K21.6	0.0006984925	0.005562983	0.9001252	1	566454	567996
RP5-857K21.7	-0.002049313	0.00652264	0.7534991	1	568137	568818
RP5-857K21.10	-0.002340538	0.004848048	0.6294431	1	569076	569756
RP5-857K21.11	-0.004691482	0.005743736	0.4143939	1	569756	570302
RP11-206L10.2	0.01626547	0.00886298	0.06700989	1	700237	714006
RP11-206L10.6	-0.01372174	0.01433395	0.3388389	1	714162	740255
RP11-206L10.11	0.01487573	0.03228683	0.6451684	1	762988	794826
NOC2L	0.02818992	0.03661651	0.4417056	1	879584	894689
KLHL17	0.01526449	0.02428969	0.5299781	1	895967	901095
HES4	0.02585469	0.01011745	0.01087082	1	934342	935552
ISG15	0.01292238	0.008439996	0.1263183	1	948803	949920
AGRN	0.05202586	0.02381634	0.02934681	1	955503	991496
RP11-465B22.3	0.02437584	0.01366287	0.07495568	1	995114	1004735
C1orf159	0.01120267	0.0242078	0.6437102	1	1017198	1051741
SDF4	-0.01177457	0.03225793	0.7152408	1	1152288	1167411
B3GALT6	0.04464046	0.02904585	0.1248897	1	1167629	1170421
UBE2J2	0.06845643	0.04541768	0.1323131	1	1189289	1209265
RP5-902P8.10	-0.03352184	0.01504025	0.02622701	1	1210603	1215800
SCNN1D	-0.01393168	0.02439734	0.568209	1	1214447	1227409
ACAP3	0.04491301	0.03943328	0.2552112	1	1227756	1244989
PUSL1	0.02901836	0.01758887	0.09954784	1	1243947	1247057
CPSF3L	-0.1182915	0.05048201	0.01946978	1	1246965	1260071
RP5-890O3.9	-0.02776212	0.02048111	0.1758109	1	1252961	1254069
GLTPD1	-0.006494912	0.03456822	0.8510342	1	1260136	1264277
DVL1	-0.01946269	0.04225208	0.645243	1	1270656	1284760
MXRA8	0.01310255	0.0206697	0.5264068	1	1288069	1297157
AURKAIP1	0.02515766	0.04154264	0.5450374	1	1309110	1310875
CCNL2	0.0208398	0.04298166	0.6279721	1	1321091	1334708
RP4-758J18.2	0.06542988	0.02374743	0.006057854	1	1334902	1337426
MRPL20	-0.01380767	0.0342767	0.6872289	1	1337288	1342693
ANKRD65	0.007357074	0.009887601	0.4571492	1	1353800	1357149
TMEM88B	-0.0164519	0.01205642	0.1729406	1	1361508	1363167
VWA1	0.009674333	0.02199736	0.660257	1	1370241	1378262
ATAD3C	0.01011815	0.007668852	0.1875862	1	1385069	1405538
ATAD3B	0.02871011	0.01799419	0.111166	1	1407143	1433228
ATAD3A	-0.03624688	0.02966618	0.2222935	1	1447531	1470067
TMEM240	0.006452035	0.02671656	0.8092574	1	1470554	1475833
SSU72	0.007192865	0.05407869	0.8942358	1	1477053	1510249
C1orf233	-0.0225635	0.02839878	0.4272309	1	1533392	1535476
MIB2	-0.007817242	0.03602843	0.8283083	1	1550795	1565990
CDK11B	0.05343549	0.0303192	0.07854794	1	1571100	1588935
SLC35E2B	-0.009576804	0.01398057	0.4936254	1	1592939	1624167
RP1-283E3.3	0.00764407	0.009162542	0.4044862	1	1656054	1663343
SLC35E2	0.01768839	0.009459699	0.0620293	1	1656277	1677431
NADK	0.01196809	0.03214141	0.7097691	1	1682671	1711896
GNB1	0.07635532	0.05924905	0.198034	1	1716725	1822502
CALML6	0.01409934	0.01352995	0.2978273	1	1846266	1848735
C1orf222	0.003351924	0.01785822	0.8511834	1	1853396	1935276
RP11-547D24.1	-0.006644259	0.007773412	0.3930636	1	1944652	1946969
GABRD	-0.01255218	0.02605329	0.6301464	1	1950780	1962192
PRKCZ	-0.03085896	0.03402771	0.364866	1	1981909	2116834
RP11-181G12.2	0.01491534	0.02021733	0.4609786	1	2113233	2115828
C1orf86	-0.03306351	0.02784468	0.2355684	1	2115903	2144159
SKI	-0.02774039	0.04292992	0.5184314	1	2160134	2241558
MORN1	-0.02420808	0.02547632	0.3424154	1	2252692	2323146
RER1	0.08161953	0.04495649	0.06998409	1	2323267	2335190
PEX10	-0.003889033	0.02609452	0.8815791	1	2336236	2345236
PLCH2	-0.002317877	0.01985505	0.9071085	1	2398898	2436969
PANK4	-0.05921101	0.03276011	0.07124038	1	2439972	2458039
HES5	0.004775752	0.007885984	0.5450284	1	2460184	2461684
TNFRSF14	0.00848373	0.02162971	0.6950423	1	2487078	2497061
FAM213B	0.0093157	0.03059503	0.7608734	1	2517930	2522908
RP1-163G9.1	-0.001141757	0.01306969	0.9304176	1	2976179	2985001
PRDM16	-0.004842432	0.0221558	0.8270712	1	2985732	3355185
ARHGEF16	0.01407837	0.01066919	0.1875353	1	3370990	3397677
MEGF6	-0.01076452	0.01260608	0.3935209	1	3406484	3528059
RP11-46F15.2	0.00505019	0.01700555	0.7665984	1	3539754	3541307
TPRG1L	-0.01416811	0.03349241	0.6724416	1	3541566	3546691
WRAP73	0.007307079	0.03919453	0.852175	1	3547331	3569325
TP73-AS1	-0.01434004	0.03279598	0.6621006	1	3652548	3663900
LRRC47	0.07165105	0.04600792	0.1199552	1	3696784	3713068
CEP104	-0.007980572	0.03975383	0.8409679	1	3728645	3773778
DFFB	0.01436224	0.02181437	0.5105645	1	3773845	3801993
C1orf174	-0.02998596	0.01782203	0.09303101	1	3805689	3816857
AJAP1	-0.04707799	0.03222404	0.1445937	1	4714792	4843850
NPHP4	-0.02728317	0.0258632	0.2919296	1	5922871	6052533
KCNAB2	-0.0151235	0.03747048	0.6866545	1	6051526	6161253
CHD5	-0.02955108	0.03838701	0.4417348	1	6161853	6240183
RPL22	-0.06116083	0.05040588	0.2255066	1	6241329	6269449
RNF207	-0.03190379	0.02425416	0.1889215	1	6265535	6281359
ICMT	-0.01402041	0.03508796	0.6896208	1	6281252	6296032
GPR153	0.03922302	0.01676277	0.01964364	1	6307406	6321035
ACOT7	-0.0157676	0.03372132	0.640265	1	6324333	6454451
ESPN	0.01734919	0.0110889	0.1182585	1	6484848	6521430
TNFRSF25	0.03568964	0.02278807	0.1178835	1	6521211	6526255
PLEKHG5	0.04149413	0.02497165	0.09714873	1	6526152	6580121
NOL9	0.06893204	0.03765983	0.06772926	1	6581407	6614595
ZBTB48	0.03529661	0.03640932	0.3327492	1	6640061	6649340
KLHL21	0.003740117	0.03271503	0.9090223	1	6650784	6674667
PHF13	-0.01008553	0.03033652	0.7396715	1	6673745	6684093
THAP3	-0.0001339403	0.03146697	0.9966053	1	6684926	6695646
DNAJC11	-0.01497073	0.03439922	0.6635827	1	6694228	6761984
CAMTA1	0.04611518	0.03286474	0.161123	1	6845384	7827916
VAMP3	0.01974409	0.02853717	0.4893071	1	7831329	7841492
PER3	-0.0009006436	0.02363746	0.9696198	1	7844380	7905237
PARK7	0.05810108	0.04477712	0.194978	1	8014351	8045565
ERRFI1	0.01315086	0.02616393	0.615422	1	8064464	8086368
SLC45A1	0.01354273	0.03497623	0.6987581	1	8377886	8404227
RERE	-0.05979546	0.04421334	0.1767894	1	8412457	8877702
ENO1	-0.001849322	0.03470353	0.9575207	1	8921061	8939308
SLC2A5	0.02574246	0.01073713	0.01683664	1	9095166	9148537
GPR157	-0.004595038	0.01265712	0.7167137	1	9160364	9189250
RP3-510D11.1	0.01008563	0.01587646	0.5255232	1	9228327	9262678
H6PD	-0.01608295	0.02381376	0.4997264	1	9294863	9331396
SPSB1	-0.001411598	0.01861903	0.9395938	1	9352939	9429591
SLC25A33	0.02768955	0.01975444	0.1615687	1	9599541	9642831
TMEM201	-0.006655579	0.03734288	0.8586084	1	9648932	9674935
PIK3CD	-0.01912904	0.0197188	0.3324241	1	9711790	9789172
CLSTN1	0.06069684	0.04788174	0.2054589	1	9789084	9884584
CTNNBIP1	-0.03055805	0.03228059	0.3442357	1	9908334	9970394
LZIC	-0.04091082	0.03113763	0.1894335	1	9982171	10003465
NMNAT1	-0.02495368	0.02547008	0.3276495	1	10003486	10045559
RBP7	0.008700467	0.01032243	0.3996647	1	10057264	10076078
UBE4B	0.06060572	0.05555068	0.2757477	1	10092890	10241297
KIF1B	-0.08980417	0.038567	0.02024321	1	10270764	10441661
U6	-0.0136007	0.01132171	0.2301505	15	43929830	43929936
U6	-0.0136007	0.01132171	0.2301505	10	88800995	88801098
U6	-0.0136007	0.01132171	0.2301505	7	130739645	130739751
U6	-0.0136007	0.01132171	0.2301505	1	10359024	10359130
U6	-0.0136007	0.01132171	0.2301505	19	45550716	45550819
U6	-0.0136007	0.01132171	0.2301505	15	43994561	43994668
U6	-0.01236579	0.01020112	0.2259529	15	43929830	43929936
U6	-0.01236579	0.01020112	0.2259529	10	88800995	88801098
U6	-0.01236579	0.01020112	0.2259529	7	130739645	130739751
U6	-0.01236579	0.01020112	0.2259529	1	10359024	10359130
U6	-0.01236579	0.01020112	0.2259529	19	45550716	45550819
U6	-0.01236579	0.01020112	0.2259529	15	43994561	43994668
U6	-0.005370311	0.01111262	0.6291004	15	43929830	43929936
U6	-0.005370311	0.01111262	0.6291004	10	88800995	88801098
U6	-0.005370311	0.01111262	0.6291004	7	130739645	130739751
U6	-0.005370311	0.01111262	0.6291004	1	10359024	10359130
U6	-0.005370311	0.01111262	0.6291004	19	45550716	45550819
U6	-0.005370311	0.01111262	0.6291004	15	43994561	43994668
U6	-0.008615237	0.01130601	0.4463812	15	43929830	43929936
U6	-0.008615237	0.01130601	0.4463812	10	88800995	88801098
U6	-0.008615237	0.01130601	0.4463812	7	130739645	130739751
U6	-0.008615237	0.01130601	0.4463812	1	10359024	10359130
U6	-0.008615237	0.01130601	0.4463812	19	45550716	45550819
U6	-0.008615237	0.01130601	0.4463812	15	43994561	43994668
U6	-0.01408644	0.0101793	0.1669673	15	43929830	43929936
U6	-0.01408644	0.0101793	0.1669673	10	88800995	88801098
U6	-0.01408644	0.0101793	0.1669673	7	130739645	130739751
U6	-0.01408644	0.0101793	0.1669673	1	10359024	10359130
U6	-0.01408644	0.0101793	0.1669673	19	45550716	45550819
U6	-0.01408644	0.0101793	0.1669673	15	43994561	43994668
U6	-0.005137812	0.01114361	0.6449405	15	43929830	43929936
U6	-0.005137812	0.01114361	0.6449405	10	88800995	88801098
U6	-0.005137812	0.01114361	0.6449405	7	130739645	130739751
U6	-0.005137812	0.01114361	0.6449405	1	10359024	10359130
U6	-0.005137812	0.01114361	0.6449405	19	45550716	45550819
U6	-0.005137812	0.01114361	0.6449405	15	43994561	43994668
PGD	0.04076622	0.02739734	0.1373297	1	10458649	10480233
DFFA	0.01198902	0.03793232	0.7520735	1	10516579	10532583
PEX14	-0.01699456	0.04416911	0.700562	1	10532345	10690815
TARDBP	0.07112622	0.04164676	0.08822528	1	11072414	11085796
MASP2	-0.001044863	0.01515957	0.9450747	1	11086580	11107290
SRM	-0.0003482792	0.04145465	0.9932997	1	11114641	11120081
EXOSC10	-0.005036642	0.0325999	0.8772728	1	11126675	11159938
MTOR	0.02420037	0.041708	0.5619932	1	11166592	11322608
UBIAD1	-0.004860998	0.02971379	0.8701104	1	11333263	11356106
PTCHD2	-0.005877278	0.01324245	0.6573452	1	11539223	11597641
FBXO2	0.01515781	0.02408047	0.5293043	1	11708424	11715842
